-67	-30	37	-10	60	-69	-3	93	96	-45	-61	20	-90	68	88	-25	-52	71	85	10	86	-2
59	-63	-19	98	100	-6	80	-41	-89	86	20	-93	-21	-8	-94	-86	1	85	-24	-93	-91	55
86	11	-92	-49	95	79	84	25	60	67	43	54	86	93	21	48	-84	3	26	91	-2	32
-45	-41	-54	-16	63	-46	13	-51	23	50	-95	19	5	-24	-77	-57	85	-69	0	-79	74	-10
-42	-50	-62	97	56	14	-68	-15	5	-50	-41	-36	-36	97	-28	-9	-78	-73	59	-48	-62	77
-93	40	41	-67	-8	93	-24	3	-42	-88	90	29	7	39	-7	41	14	-22	-41	-20	37	-72
27	92	-73	40	-30	-56	3	43	-8	-7	51	26	46	83	-96	-49	16	-15	5	-78	8	78
3	-19	93	8	31	91	57	-42	-90	-75	-89	-5	-85	-45	1	83	-40	56	-63	13	40	88
21	-68	56	-54	59	-48	-62	-46	21	-94	-18	-18	5	-43	-78	15	47	55	-13	-86	-66	92
-42	-29	30	-61	53	-5	97	-81	40	26	-40	-30	-39	-97	70	7	11	-38	-72	77	58	40
73	7	-3	54	30	-84	-79	-44	19	44	-59	38	61	98	-52	72	80	0	4	97	-42	-22
28	-59	-33	44	53	80	-43	34	-55	63	4	51	61	6	9	29	15	87	-80	-45	75	-50
-4	-85	49	-63	-10	-48	4	-95	53	65	-88	9	99	-11	16	68	48	86	85	-57	44	57
-24	-21	85	19	-68	-90	-18	97	19	26	-48	-91	50	-100	-78	53	10	-98	86	32	65	7
8	-43	-26	-27	-95	-77	-45	73	76	72	-35	-65	75	-44	-100	43	47	6	-21	14	39	86
-77	71	60	93	99	86	-54	7	48	12	-23	-67	55	-38	56	40	41	-56	-18	33	-11	-30
-12	3	33	39	22	7	-52	45	57	-56	26	30	-73	29	78	34	-31	77	10	-36	-71	-87
40	30	-21	-20	-95	-38	5	-43	-73	-89	24	18	13	-82	-11	89	99	-40	-49	20	94	-87
39	53	53	-63	-82	-20	-78	-81	15	-92	15	-21	-5	55	-38	-74	79	65	17	8	-43	-55
