57	-7	-47	22	-85	3	51	-66	-33	2	98	15	75	-69	-67	-5	-60	-38	-51	-17	37	6	-87	-11	33	-9	89
-47	-24	-1	-34	-59	28	34	61	-99	83	7	99	61	61	35	-53	93	18	-57	-80	-7	3	-46	92	-9	-31	-90
-57	-39	-24	-51	62	-68	-76	76	80	0	42	5	-52	71	75	66	78	-93	-79	49	93	65	88	-6	5	10	38
89	-57	-63	21	-84	37	67	73	61	1	19	39	-87	-73	-40	-26	-70	45	-40	78	63	8	-92	89	-41	85	-47
100	-46	25	-78	19	63	-5	3	59	80	-8	-49	-85	93	-43	10	-60	20	-49	-16	27	94	4	84	-54	57	-97
-93	84	18	-59	58	-75	-75	-37	38	88	-96	24	96	-17	60	-88	-85	80	51	99	-11	-3	84	-77	49	-36	-29
-97	-87	92	73	-36	-90	23	-9	-81	-76	-41	95	-8	-50	37	-71	96	-4	7	-88	73	-80	1	-79	-34	57	73
-12	43	21	-21	-18	-14	93	-52	-32	-43	32	-6	-95	-22	52	6	9	-41	3	-8	-65	-46	-42	-22	54	2	-47
-70	76	88	-4	-6	70	-69	-46	24	69	-14	-16	-87	19	33	-42	66	-10	60	-64	80	33	60	84	-84	43	-24
-78	55	82	27	-39	-91	81	40	62	-45	-25	-60	72	34	80	-48	-24	84	10	6	-5	-93	34	87	100	-73	-26
-87	5	92	3	64	-28	-49	-36	93	81	-79	-82	17	-88	4	-79	-50	-97	38	77	-15	-92	-11	-40	68	-49	52
22	64	15	-51	39	71	-8	15	19	61	60	34	94	-61	75	-11	93	18	-74	63	-87	-86	-56	13	73	77	-60
-45	-30	64	42	26	28	-12	96	1	65	-67	-21	-33	79	6	47	96	-13	-74	98	-25	91	52	34	-59	-8	-64
47	-8	2	93	-40	49	-27	-32	-39	-72	-1	33	-25	-75	83	-89	-86	-77	-39	79	-79	-38	33	-28	28	8	44
88	0	-5	-34	-71	-25	27	-43	65	-64	59	-15	19	-82	79	5	97	82	-70	26	-23	7	-79	-85	63	85	-36
72	-85	-21	43	-67	16	-14	86	100	28	65	-30	68	-41	-53	-69	-57	-88	-19	66	26	86	64	59	12	-37	-48
76	-50	26	12	16	-43	83	-47	-51	87	-96	-53	90	-13	73	70	-34	16	-93	7	-66	21	81	2	-16	69	30
1	-59	42	-82	60	70	-38	45	68	86	-10	-42	53	-26	89	86	-7	-69	-76	-55	-91	83	53	45	65	-49	-79
